DEGREE,ORDER,C_BAR,S_BAR
2.0,0.0,-0.000484165143790815,0.0
2.0,1.0,-2.06615509074176e-10,1.38441389137979e-09
2.0,2.0,2.43938357328313e-06,-1.40027370385934e-06
3.0,0.0,9.57161207093473e-07,0.0
3.0,1.0,2.03046201047864e-06,2.48200415856872e-07
3.0,2.0,9.04787894809528e-07,-6.19005475177618e-07
3.0,3.0,7.21321757121568e-07,1.41434926192941e-06
4.0,0.0,5.39965866638991e-07,0.0
4.0,1.0,-5.36157389388867e-07,-4.73567346518086e-07
4.0,2.0,3.50501623962649e-07,6.62480026275829e-07
4.0,3.0,9.90856766672321e-07,-2.00956723567452e-07
4.0,4.0,-1.88519633023033e-07,3.08803882149194e-07
5.0,0.0,6.86702913736681e-08,0.0
5.0,1.0,-6.29211923042529e-08,-9.43698073395769e-08
5.0,2.0,6.52078043176164e-07,-3.23353192540522e-07
5.0,3.0,-4.51847152328843e-07,-2.14955408306046e-07
5.0,4.0,-2.95328761175629e-07,4.98070550102351e-08
5.0,5.0,1.74811795496002e-07,-6.69379935180165e-07
6.0,0.0,-1.49953927978527e-07,0.0
6.0,1.0,-7.59210081892527e-08,2.65122593213647e-08
6.0,2.0,4.8648892460469e-08,-3.73789324523752e-07
6.0,3.0,5.72451611175653e-08,8.9520113001073e-09
6.0,4.0,-8.60237937191611e-08,-4.71425573429095e-07
6.0,5.0,-2.67166423703038e-07,-5.36493151500206e-07
6.0,6.0,9.47068749756882e-09,-2.37382353351005e-07
7.0,0.0,9.05120844521618e-08,0.0
7.0,1.0,2.80887555776673e-07,9.51259362869275e-08
7.0,2.0,3.30407993702235e-07,9.29969290624092e-08
7.0,3.0,2.50458409225729e-07,-2.1711828772961e-07
7.0,4.0,-2.74993935591631e-07,-1.24058403514343e-07
7.0,5.0,1.64773255934658e-09,1.79281782751438e-08
7.0,6.0,-3.58798423464889e-07,1.51798257443669e-07
7.0,7.0,1.50746472872675e-09,2.41068767286303e-08
8.0,0.0,4.94756003005199e-08,0.0
8.0,1.0,2.31607991248329e-08,5.88974540927606e-08
8.0,2.0,8.00143604736599e-08,6.52805043667369e-08
8.0,3.0,-1.9374538171529e-08,-8.59639339125694e-08
8.0,4.0,-2.44360480007096e-07,6.98072508472777e-08
8.0,5.0,-2.57011477267991e-08,8.92034891745881e-08
8.0,6.0,-6.59648680031408e-08,3.08946730783065e-07
8.0,7.0,6.72569751771483e-08,7.48686063738231e-08
8.0,8.0,-1.24022771917136e-07,1.20551889384997e-07
9.0,0.0,2.801807532163e-08,0.0
9.0,1.0,1.42151377236084e-07,2.1400466507751e-08
9.0,2.0,2.14144381199757e-08,-3.16984195352417e-08
9.0,3.0,-1.60612356882835e-07,-7.42658786809216e-08
9.0,4.0,-9.36529556592536e-09,1.99026740710063e-08
9.0,5.0,-1.63134050605937e-08,-5.40394840426217e-08
9.0,6.0,6.27879491161446e-08,2.22962377434615e-07
9.0,7.0,-1.17983924385618e-07,-9.69222126840068e-08
9.0,8.0,1.88136188986452e-07,-3.00538974811744e-09
9.0,9.0,-4.75568433357652e-08,9.68804214389955e-08
10.0,0.0,5.33304381729473e-08,0.0
10.0,1.0,8.37623112620412e-08,-1.31092332261065e-07
10.0,2.0,-9.39894766092874e-08,-5.12746772537482e-08
10.0,3.0,-7.00709997317429e-09,-1.54139929404373e-07
10.0,4.0,-8.4471538807463e-08,-7.90255527979406e-08
10.0,5.0,-4.92894049964295e-08,-5.06137282060864e-08
10.0,6.0,-3.75849022022301e-08,-7.97688616388143e-08
10.0,7.0,8.26209286523474e-09,-3.04903703914366e-09
10.0,8.0,4.05981624580941e-08,-9.17138622482163e-08
10.0,9.0,1.2537663160434e-07,-3.7943658484127e-08
10.0,10.0,1.00435991936118e-07,-2.38596204211893e-08
11.0,0.0,-5.07683787085927e-08,0.0
11.0,1.0,1.56127678638183e-08,-2.71235374123689e-08
11.0,2.0,2.01135250154855e-08,-9.9000395490559e-08
11.0,3.0,-3.05773531606647e-08,-1.48835345047152e-07
11.0,4.0,-3.79499015091407e-08,-6.37669897493018e-08
11.0,5.0,3.7419240705058e-08,4.95908160271967e-08
11.0,6.0,-1.56429128694775e-09,3.42735099884706e-08
11.0,7.0,4.65461661449953e-09,-8.98252194924903e-08
11.0,8.0,-6.30174049861897e-09,2.45446551115189e-08
11.0,9.0,-3.10727993686101e-08,4.20682585407293e-08
11.0,10.0,-5.22444922089646e-08,-1.8421638316373e-08
11.0,11.0,4.62340571475799e-08,-6.967112515237e-08
12.0,0.0,3.64361922614572e-08,0.0
12.0,1.0,-5.35856270449833e-08,-4.31656037232084e-08
12.0,2.0,1.4266593682829e-08,3.10937162901519e-08
12.0,3.0,3.96211271409354e-08,2.50622628960907e-08
12.0,4.0,-6.77284618097416e-08,3.83823469584472e-09
12.0,5.0,3.08775410911475e-08,7.59066416791107e-09
12.0,6.0,3.13421100991039e-09,3.89801868153392e-08
12.0,7.0,-1.905179574831e-08,3.57268620672699e-08
12.0,8.0,-2.58866871220994e-08,1.69362538600173e-08
12.0,9.0,4.19147664170774e-08,2.49625636010847e-08
12.0,10.0,-6.19955079880774e-09,3.09398171578482e-08
12.0,11.0,1.13644952089825e-08,-6.38551119140755e-09
12.0,12.0,-2.42377235648074e-09,-1.10993698692881e-08
13.0,0.0,4.17293021685027e-08,0.0
13.0,1.0,-5.1442100920612e-08,3.86910482386637e-08
13.0,2.0,5.53118515702855e-08,-6.26943474947239e-08
13.0,3.0,-2.15570388049647e-08,9.76866679032941e-08
13.0,4.0,-3.65127902764428e-09,-1.17512717960252e-08
13.0,5.0,5.83702330251927e-08,6.72244622794413e-08
13.0,6.0,-3.50445484464565e-08,-6.27356859556194e-09
13.0,7.0,3.01412465951003e-09,-7.3206865996197e-09
13.0,8.0,-1.00532117993105e-08,-9.8578703264598e-09
13.0,9.0,2.47702773255876e-08,4.58875609452034e-08
13.0,10.0,4.11080488026299e-08,-3.6840390917775e-08
13.0,11.0,-4.45213404110823e-08,-4.84141059455725e-09
13.0,12.0,-3.13130628228171e-08,8.79376493656904e-08
13.0,13.0,-6.12004732532594e-08,6.81501470347338e-08
14.0,0.0,-2.26681154094404e-08,0.0
14.0,1.0,-1.87724885657433e-08,2.88602024410603e-08
14.0,2.0,-3.59186725681205e-08,-4.05327051356456e-09
14.0,3.0,3.65140497848863e-08,1.96941950099316e-08
14.0,4.0,1.60184144282003e-09,-2.26625156915448e-08
14.0,5.0,2.93092637238844e-08,-1.67894170071708e-08
14.0,6.0,-1.90674352461174e-08,2.45661933018802e-09
14.0,7.0,3.76297554551457e-08,-3.9336467107874e-09
14.0,8.0,-3.49417459823694e-08,-1.5447552149572e-08
14.0,9.0,3.19517827137725e-08,2.84642263273996e-08
14.0,10.0,3.88008374622606e-08,-1.29351349981739e-09
14.0,11.0,1.56475715628498e-08,-3.90403676399681e-08
14.0,12.0,8.46317130098805e-09,-3.11211374558506e-08
14.0,13.0,3.22437165995707e-08,4.51472951879378e-08
14.0,14.0,-5.18650713590088e-08,-4.81611072612157e-09
15.0,0.0,2.19216154508434e-09,0.0
15.0,1.0,9.42942849227573e-09,1.04833279954842e-08
15.0,2.0,-2.05302993025519e-08,-3.03007325301024e-08
15.0,3.0,5.34162906407382e-08,1.76634209489453e-08
15.0,4.0,-4.01721760931603e-08,6.81343055884874e-09
15.0,5.0,1.22424622638639e-08,7.62075300880907e-09
15.0,6.0,3.28522324096078e-08,-3.64691072357445e-08
15.0,7.0,5.96540954755518e-08,5.07394600032322e-09
15.0,8.0,-3.20875010777956e-08,2.21729246735453e-08
15.0,9.0,1.32999993095746e-08,3.79914748780028e-08
15.0,10.0,1.02639183602256e-08,1.4690633257687e-08
15.0,11.0,-1.30462854422872e-09,1.85210748548004e-08
15.0,12.0,-3.24147324255678e-08,1.56080393130757e-08
15.0,13.0,-2.83649640930711e-08,-4.57549001836693e-09
15.0,14.0,5.19862755176957e-09,-2.43950380180467e-08
15.0,15.0,-1.90443752608698e-08,-4.69941074395975e-09
16.0,0.0,-4.71037252266068e-09,0.0
16.0,1.0,2.6185244789231e-08,3.33423726704204e-08
16.0,2.0,-2.45117847209327e-08,2.80314862616323e-08
16.0,3.0,-3.39147390918482e-08,-2.13401079775597e-08
16.0,4.0,4.08540187833972e-08,4.79877498751224e-08
16.0,5.0,-1.21209356470009e-08,-3.44283772175451e-09
16.0,6.0,1.38747261713477e-08,-3.55969015666675e-08
16.0,7.0,-8.06188863620981e-09,-8.6517866069519e-09
16.0,8.0,-2.12044215093991e-08,5.40717302974902e-09
16.0,9.0,-2.24151915247857e-08,-3.96686472741101e-08
16.0,10.0,-1.18064629182132e-08,1.15374382529194e-08
16.0,11.0,1.9111846301382e-08,-3.20054944714364e-09
16.0,12.0,1.95631858722835e-08,6.72539764312181e-09
16.0,13.0,1.37744095920323e-08,1.04745467774466e-09
16.0,14.0,-1.93451561175034e-08,-3.86522367774771e-08
16.0,15.0,-1.44196100302905e-08,-3.27760669358925e-08
16.0,16.0,-3.82992884797529e-08,2.95860714710389e-09
17.0,0.0,1.91875988417387e-08,0.0
17.0,1.0,-2.53645204657949e-08,-3.17042482135934e-08
17.0,2.0,-2.01017447758198e-08,6.81376058343928e-09
17.0,3.0,6.30839562027722e-09,5.08308654394536e-09
17.0,4.0,6.47515778433184e-09,2.53354668311939e-08
17.0,5.0,-1.62193992995631e-08,8.03001732911605e-09
17.0,6.0,-1.17320425248787e-08,-2.94401279670302e-08
17.0,7.0,2.49764681793243e-08,-4.38554429095768e-09
17.0,8.0,3.90006528364112e-08,3.63439990543582e-09
17.0,9.0,3.47901841118582e-09,-2.76427048005195e-08
17.0,10.0,-3.79589397747057e-09,1.83778246503248e-08
17.0,11.0,-1.60174948249694e-08,1.10870581174922e-08
17.0,12.0,2.87221517856901e-08,2.04582230384783e-08
17.0,13.0,1.65063239919241e-08,2.01356543378344e-08
17.0,14.0,-1.42747771121823e-08,1.15742828658331e-08
17.0,15.0,5.53783372805876e-09,5.24340656496201e-09
17.0,16.0,-3.03992561155655e-08,3.60274437895663e-09
17.0,17.0,-3.46971352906772e-08,-1.98743584916705e-08
18.0,0.0,6.09862871807421e-09,0.0
18.0,1.0,7.20152312518112e-09,-3.92970098282429e-08
18.0,2.0,1.47251428316923e-08,1.0833387308781e-08
18.0,3.0,-5.04457513185901e-09,-5.84923266822307e-09
18.0,4.0,5.46253493560536e-08,-7.86748537792632e-10
18.0,5.0,5.97651128344404e-09,2.61398616579252e-08
18.0,6.0,1.35775785802306e-08,-1.32446105152748e-08
18.0,7.0,6.79347259309753e-09,7.46790172709486e-09
18.0,8.0,3.04992690074792e-08,4.34439798188153e-09
18.0,9.0,-1.95696822181729e-08,3.61306774690565e-08
18.0,10.0,5.21528994919861e-09,-4.24068379064049e-09
18.0,11.0,-6.88640849277642e-09,2.11925103597343e-09
18.0,12.0,-2.97489841938418e-08,-1.65609165083241e-08
18.0,13.0,-6.25379710747338e-09,-3.49391913136191e-08
18.0,14.0,-8.29497209425585e-09,-1.28330547008713e-08
18.0,15.0,-4.04690219510979e-08,-2.02806589920597e-08
18.0,16.0,1.01653114622966e-08,6.50425930141024e-09
18.0,17.0,3.48327556578355e-09,4.37638847248534e-09
18.0,18.0,2.99062325911737e-09,-1.08590059665012e-08
19.0,0.0,-3.30313643444747e-09,0.0
19.0,1.0,-8.97158188216359e-09,1.19351790338528e-09
19.0,2.0,3.57388371471962e-08,-2.37015979063608e-09
19.0,3.0,-7.56032556254074e-09,1.10290369074984e-09
19.0,4.0,1.58085379630551e-08,-8.14278758437249e-09
19.0,5.0,1.03889228527421e-08,2.74505357043879e-08
19.0,6.0,-4.79964549701996e-09,1.87563790081893e-08
19.0,7.0,5.64134377468315e-09,-8.74192018355915e-09
19.0,8.0,2.98891166523339e-08,-9.99215899666339e-09
19.0,9.0,3.28811224665918e-09,7.23785481495213e-09
19.0,10.0,-3.38785599522056e-08,-7.57904101437065e-09
19.0,11.0,1.63045986043663e-08,1.03569678194585e-08
19.0,12.0,-2.43982295344659e-09,9.45624397342968e-09
19.0,13.0,-7.54129981811845e-09,-2.85237528001317e-08
19.0,14.0,-4.74367454667135e-09,-1.28504936248119e-08
19.0,15.0,-1.75897089065384e-08,-1.40715825139566e-08
19.0,16.0,-2.17451255571334e-08,-7.09767792051299e-09
19.0,17.0,2.88044882586693e-08,-1.53426366311999e-08
19.0,18.0,3.50090299803503e-08,-9.68981039886231e-09
19.0,19.0,-2.70413871892665e-09,5.19745751787224e-09
20.0,0.0,2.15591507033563e-08,0.0
20.0,1.0,5.56769420352798e-09,7.02905214885703e-09
20.0,2.0,2.02918579297024e-08,1.71846424016348e-08
20.0,3.0,-4.75067130843254e-09,3.88999361019568e-08
20.0,4.0,4.27003612219999e-09,-2.26257406735223e-08
20.0,5.0,-1.01257213338814e-08,-8.25992352502226e-09
20.0,6.0,1.21620484764481e-08,-4.36402383882308e-09
20.0,7.0,-2.12263060369801e-08,-7.05320978718748e-10
20.0,8.0,5.09516213860775e-09,2.15379201882923e-09
20.0,9.0,1.71870322955948e-08,-7.01274288613723e-09
20.0,10.0,-3.22958167727745e-08,-4.78973340317704e-09
20.0,11.0,1.44499209074778e-08,-1.91512412341219e-08
20.0,12.0,-6.4675056677167e-09,1.81349181903443e-08
20.0,13.0,2.74124121971504e-08,6.7638200059281e-09
20.0,14.0,1.15262785907965e-08,-1.43820399199974e-08
20.0,15.0,-2.57906406507802e-08,-8.65059449398313e-10
20.0,16.0,-1.24242154429344e-08,-3.43443068287856e-10
20.0,17.0,4.50343354729068e-09,-1.37322621927409e-08
